Subject,Edema1,Tumor1,Edema2,Tumor2
BRATS_LG0001,0.380207,0.755345,0.372789,0.771007
BRATS_LG0002,0.59486,0.679266,0.57857,0.684658
BRATS_LG0004,0.804063,0.379295,0.808264,0.413803
BRATS_LG0006,0.357396,0.226063,0.38241,0.148215
BRATS_LG0008,0.597048,0.789466,0.625404,0.809153
BRATS_LG0011,0.322545,0.932655,0.418151,0.937306
BRATS_LG0012,0.563173,0.726595,0.584635,0.73558
BRATS_LG0013,0.354784,0.615103,0.403964,0.62476
BRATS_LG0014,0.373043,0.611631,0.304512,0.790705
BRATS_LG0015,0.520481,0.785554,0.566059,0.798485
