ID,SEX,AGE
2,2,35.8
12,1,38.78
13,1,46.71
14,2,34.24
15,1,24.28
16,1,55.17
17,2,29.09
19,1,58.66
20,1,39.47
21,2,21.57
22,1,30.67
23,2,33.08
24,2,37.7
25,2,29.78
26,2,34.48
27,1,30.42
28,1,74.03
29,2,59.22
30,1,31.46
31,1,31.13
33,1,24.76
34,2,24.34
35,2,37.14
36,1,23.54
37,2,37.21
38,1,21.38
39,1,23.35
40,2,44.09
41,1,27.39
42,2,27.82
43,2,22.65
44,2,44.85
45,2,40.04
46,2,37.73
48,1,50.65
49,1,31.85
50,1,63.19
51,2,25.74
52,2,33.76
53,1,53.31
54,2,41.75
55,2,49.4
56,1,25.94
57,2,28.16
58,1,29.28
59,1,34.14
60,1,30.7
61,2,59
62,1,36.22
63,1,41.12
64,1,20.07
65,2,23.72
66,2,46.17
67,1,24.69
68,2,24.57
69,2,26.27
70,2,20.7
71,2,37
72,1,68.6
73,2,46.37
74,2,22.53
75,2,35.99
76,1,55.83
77,2,36.48
78,2,28.51
79,2,52.53
80,2,21.2
83,1,30.89
84,2,38.23
85,2,31.85
86,1,30.07
87,2,25.66
89,2,49.4
90,1,41.82
91,1,28.61
92,1,33.24
93,1,26.88
94,1,24.85
95,2,24.9
96,1,26.92
97,2,35.02
98,1,29.73
99,1,51.75
100,2,41.51
101,1,45.77
102,2,24.62
103,1,31.81
104,1,26.98
105,1,38.9
106,1,36.67
107,2,31.9
108,1,43.16
109,2,36.47
110,1,37.77
111,1,25.19
112,1,23.7
113,2,32.36
114,2,65.41
115,1,72.13
118,2,25.93
119,2,32.17
120,2,53.67
121,1,35.07
122,2,22.97
123,2,46.58
126,1,57.22
127,2,29.5
128,2,27.33
129,1,23.04
130,1,38.77
131,2,45.23
132,1,58.72
134,1,47.35
135,1,29
136,1,35.81
137,1,41.23
138,2,33.14
139,1,32.94
140,2,27.84
141,2,46.01
142,2,48.25
143,2,31.96
144,2,29.36
145,1,49.39
146,1,33.59
148,2,40.56
150,2,27.01
151,1,45.39
153,1,22.43
154,2,24.34
156,2,59.38
157,2,54.43
158,2,75.63
159,2,24.14
160,2,39.4
161,2,65.11
162,1,50.52
163,1,48.05
164,1,64.47
165,1,24.38
166,2,41.2
167,2,67.53
168,1,43.82
169,2,58.77
170,2,31.59
172,1,74.99
173,2,29.57
174,2,63.1
175,1,72.27
176,1,24.85
177,1,34.29
178,1,25.41
