LABEL_1,LABEL_2,LABEL_3,LABEL_4,LABEL_5,LABEL_6,LABEL_7,LABEL_8,LABEL_9,LABEL_10,LABEL_11,LABEL_12,LABEL_13,LABEL_14,LABEL_15,LABEL_16,LABEL_17,LABEL_18,LABEL_19,LABEL_20,LABEL_21,LABEL_22,LABEL_23,LABEL_24,LABEL_25,LABEL_26,LABEL_27,LABEL_28,LABEL_29,LABEL_30,LABEL_31,LABEL_32
47800.546875,47157.1875,17860.078125,18451.7578125,8725.4296875,8395.3125,15472.265625,16524.84375,22406.8359375,19581.328125,50158.828125,51373.828125,16150.4296875,14720.2734375,8416.40625,9434.1796875,37566.9140625,38425.4296875,34399.6875,34182.421875,17535.234375,17678.671875,20615.9765625,21213.984375,36117.7734375,38097.421875,37401.328125,34621.171875,37940.2734375,39675.234375,28086.328125,26474.765625
56273.90625,57814.8046875,20795.2734375,20407.1484375,9742.1484375,10188.28125,14458.7109375,17189.296875,25574.0625,24343.2421875,58674.375,57554.296875,19106.71875,19021.2890625,10932.890625,11946.4453125,49953.1640625,51376.9921875,40005.3515625,40717.265625,17959.21875,21145.4296875,24532.03125,24579.4921875,41157.0703125,42108.3984375,47091.796875,39984.2578125,44584.8046875,50925.5859375,33135.1171875,34603.2421875
53661.4453125,56541.796875,18882.0703125,20302.734375,8950.078125,8797.1484375,12932.578125,14572.6171875,22989.0234375,20085.46875,55076.8359375,55124.296875,18717.5390625,18183.8671875,10763.0859375,10382.34375,43440.46875,44377.03125,40616.015625,39717.421875,18410.625,20054.8828125,25398.984375,22885.6640625,39220.6640625,39794.4140625,45271.40625,41287.8515625,42856.171875,47656.0546875,31540.4296875,30691.40625
45181.7578125,48309.9609375,16834.921875,16331.8359375,7699.21875,7253.0859375,11515.078125,12064.5703125,20202.5390625,18778.7109375,46055.0390625,50342.34375,15399.4921875,14937.5390625,8893.125,9798.046875,37950.8203125,38770.3125,34342.734375,34360.6640625,15046.171875,17217.7734375,22055.625,21130.6640625,33848.0859375,33373.4765625,34797.3046875,31959.140625,39158.4375,41289.9609375,27853.2421875,27136.0546875
48344.765625,47667.65625,18513.984375,18245.0390625,9903.515625,10052.2265625,12473.7890625,14698.125,23324.4140625,22064.0625,52062.5390625,54145.546875,16808.5546875,16250.625,8953.2421875,9968.90625,43190.5078125,42525,36567.0703125,37295.859375,17381.25,19336.640625,25560.3515625,24626.953125,36726.328125,36205.3125,37213.59375,31723.9453125,44275.78125,46940.9765625,26878.7109375,29556.5625
45097.3828125,47506.2890625,16191.5625,16580.7421875,8976.4453125,9324.4921875,14615.859375,18564.609375,24612.1875,23022.7734375,51942.3046875,52058.3203125,17902.265625,17838.984375,9110.390625,10367.578125,36674.6484375,38382.1875,33249.0234375,34550.5078125,14276.25,15607.265625,21988.125,23518.4765625,34854.2578125,35701.171875,35472.3046875,35087.34375,41046.328125,42006.09375,26994.7265625,26475.8203125
48513.515625,55617.890625,20272.1484375,20717.2265625,9631.40625,9526.9921875,16121.953125,17204.0625,25350.46875,23557.5,57628.125,58430.7421875,17383.359375,15252.890625,9807.5390625,10706.1328125,43526.953125,44167.1484375,38173.359375,39817.6171875,16706.25,17439.2578125,23865.46875,24598.4765625,38593.125,41577.890625,41749.8046875,39700.546875,43211.6015625,44680.78125,27363.8671875,29259.140625
61285.78125,60703.59375,20004.2578125,19669.921875,9827.578125,9871.875,16732.6171875,17398.125,25212.3046875,23900.2734375,56932.03125,58278.8671875,18154.3359375,17007.890625,12148.9453125,11889.4921875,46102.5,43977.3046875,45893.671875,46858.7109375,18955.8984375,19081.40625,25613.0859375,26785.8984375,44967.65625,48604.21875,45771.328125,38150.15625,52682.6953125,51906.4453125,32706.9140625,35186.484375
52859.8828125,57354.9609375,19116.2109375,19199.53125,9775.8984375,9178.9453125,13672.96875,16068.1640625,23368.7109375,20239.453125,54494.6484375,58483.4765625,17071.171875,16644.0234375,9979.453125,11387.4609375,43920.3515625,41264.6484375,37408.7109375,40482.0703125,16672.5,18823.0078125,24217.734375,24594.2578125,38041.5234375,36785.390625,42194.8828125,36954.140625,43078.7109375,44759.8828125,32426.3671875,30255.8203125
55538.7890625,57738.8671875,19089.84375,19869.2578125,9954.140625,9085.078125,15200.15625,16504.8046875,24558.3984375,24591.09375,58785.1171875,57156.6796875,18252.421875,17474.0625,10512.0703125,11139.609375,43229.53125,45751.2890625,36556.5234375,39275.5078125,16863.3984375,18562.5,25796.6015625,24335.859375,37950.8203125,37254.7265625,41900.625,37490.9765625,43628.203125,45651.09375,27932.34375,27107.578125
56872.96875,59276.6015625,20697.1875,21862.6171875,11033.0859375,10032.1875,17205.1171875,19125.703125,27467.2265625,22893.046875,62149.5703125,65620.546875,19980,18548.7890625,11442.3046875,11947.5,47069.6484375,45994.921875,43947.7734375,45479.1796875,17634.375,18625.78125,27013.7109375,25788.1640625,39754.3359375,42237.0703125,40619.1796875,40679.296875,49227.5390625,52483.359375,31451.8359375,30551.1328125
46550.7421875,49388.90625,17046.9140625,17784.140625,10460.390625,9798.046875,13552.734375,14319.4921875,22368.8671875,20124.4921875,49423.7109375,48251.953125,16477.3828125,14613.75,9647.2265625,10120.78125,39393.6328125,38961.2109375,34948.125,34873.2421875,17933.90625,18081.5625,22150.546875,24281.015625,35025.1171875,36945.703125,39100.4296875,38548.828125,42117.890625,45636.328125,25286.1328125,27686.6015625
45946.40625,49155.8203125,16726.2890625,17413.9453125,9268.59375,9067.1484375,14781.4453125,16543.828125,21880.546875,19543.359375,49306.640625,49386.796875,16869.7265625,17532.0703125,10146.09375,10305.3515625,40051.7578125,38565.703125,34426.0546875,35525.0390625,14561.015625,15757.03125,23619.7265625,23224.21875,36703.125,39768.046875,32886.2109375,34913.3203125,40468.359375,40459.921875,26438.90625,25016.1328125
45799.8046875,45606.796875,20734.1015625,20014.8046875,9531.2109375,9340.3125,15995.390625,16912.96875,22924.6875,22049.296875,47575.8984375,51694.453125,16861.2890625,16678.828125,9860.2734375,9847.6171875,41360.625,40290.1171875,37811.6015625,36187.3828125,16590.234375,16160.9765625,23789.53125,23500.546875,35296.171875,35089.453125,37162.96875,35943.75,43169.4140625,43485.8203125,26080.3125,27031.640625
44710.3125,49935.234375,15255,16620.8203125,7298.4375,7281.5625,12152.109375,13374.4921875,19244.8828125,16928.7890625,46259.6484375,46041.328125,14892.1875,13946.1328125,7787.8125,8478.6328125,38024.6484375,32437.96875,28473.3984375,30338.0859375,12022.3828125,14338.4765625,21255.1171875,21281.484375,30497.34375,31272.5390625,35799.2578125,32652.0703125,33722.578125,39952.6171875,26129.8828125,25456.9921875
58445.5078125,60766.875,18527.6953125,18761.8359375,10292.6953125,9897.1875,17287.3828125,18634.21875,25152.1875,24271.5234375,57636.5625,60719.4140625,18195.46875,17688.1640625,9379.3359375,11203.9453125,48143.3203125,46260.703125,38969.6484375,39006.5625,18241.875,20538.984375,23993.0859375,24096.4453125,39428.4375,40605.46875,41517.7734375,39300.8203125,46270.1953125,50320.1953125,28761.328125,28436.484375
45177.5390625,44287.3828125,16171.5234375,17176.640625,8624.1796875,8808.75,13931.3671875,16375.078125,21979.6875,21690.703125,48864.7265625,50068.125,17833.7109375,17225.15625,9659.8828125,10207.265625,39343.0078125,36949.921875,31368.515625,31228.2421875,13476.796875,13861.7578125,20270.0390625,20473.59375,35640,38331.5625,36381.4453125,33594.9609375,39257.578125,42496.5234375,28101.09375,28692.7734375
39449.53125,43243.2421875,16100.859375,16208.4375,8731.7578125,8545.078125,11820.9375,13106.6015625,20496.796875,18762.890625,44325.3515625,45806.1328125,14214.0234375,14088.515625,8360.5078125,8357.34375,38075.2734375,35933.203125,32480.15625,31472.9296875,14346.9140625,15327.7734375,20507.34375,18430.6640625,32813.4375,32873.5546875,30298.0078125,28470.234375,42290.859375,40355.5078125,25666.875,26325
59710.078125,61015.78125,20393.4375,20991.4453125,10856.953125,10167.1875,15446.953125,18020.390625,25500.234375,24025.78125,55153.828125,57498.3984375,18145.8984375,18742.8515625,10792.6171875,11323.125,45670.078125,44870.625,37532.109375,42234.9609375,19346.1328125,18864.140625,24908.5546875,26033.90625,37343.3203125,39610.8984375,41355.3515625,36268.59375,45149.0625,51025.78125,28353.1640625,31406.484375
54146.6015625,55077.890625,18949.5703125,20333.3203125,9745.3125,8931.09375,15534.4921875,17236.7578125,22962.65625,20695.078125,53428.359375,55980.703125,17982.421875,16977.3046875,9627.1875,11715.46875,43967.8125,44410.78125,34265.7421875,36003.8671875,17075.390625,18460.1953125,22001.8359375,22266.5625,41424.9609375,38913.75,39037.1484375,38663.7890625,39005.5078125,41536.7578125,28380.5859375,28925.859375
51060.5859375,49221.2109375,20038.0078125,20787.890625,9877.1484375,9682.03125,12546.5625,14496.6796875,24172.3828125,22704.2578125,53657.2265625,57834.84375,16495.3125,16025.9765625,9439.453125,11352.65625,46426.2890625,46659.375,36613.4765625,38696.484375,19065.5859375,19881.9140625,25529.765625,24274.6875,39301.875,40556.953125,42487.03125,39293.4375,45702.7734375,47568.515625,32335.6640625,29046.09375
