LABEL_1,LABEL_2,LABEL_3,LABEL_4,LABEL_5,LABEL_6,LABEL_7,LABEL_8,LABEL_9,LABEL_10,LABEL_11,LABEL_12,LABEL_13,LABEL_14,LABEL_15,LABEL_16,LABEL_17,LABEL_18,LABEL_19,LABEL_20,LABEL_21,LABEL_22,LABEL_23,LABEL_24,LABEL_25,LABEL_26,LABEL_27,LABEL_28,LABEL_29,LABEL_30,LABEL_31,LABEL_32
23989,23190,11341,10066,5923,5753,6067,7794,12571,11484,25908,26630,10975,9723,5380,6123,18585,19049,17062,16473,8259,9650,11383,12248,15151,15177,15781,13580,19014,22007,13174,13128
23099,30516,15347,14743,7164,7115,8009,11866,17375,14150,35458,36887,11582,11181,6401,8009,27620,28082,24894,23677,10588,10591,16544,16993,21984,21466,23453,20315,23187,27603,14503,14514
26338,29514,13303,13905,7207,6668,7815,10719,17242,15321,35107,36772,11936,11376,5677,6665,27447,24834,22845,22723,10517,11642,15980,16041,21678,23267,23108,21889,26580,27677,16429,15893
27281,28818,13664,13325,7735,7176,7998,8639,17203,14425,34854,34302,11872,10453,6937,8504,27132,26052,23575,23498,11616,12394,16868,16231,21262,21856,23262,22750,26672,29241,13736,14405
20215,23183,11737,9777,5656,5484,7260,9267,11613,9929,27768,28750,10385,9187,3980,4639,17448,17419,14475,15890,7584,8403,12284,12023,16705,16807,17275,16516,19158,19899,12329,11417
27403,26587,11512,11643,5923,5506,6974,8720,13958,10939,31201,30990,11655,10579,5248,5723,21604,20439,17237,18185,8504,8717,13163,13174,17469,16410,20093,15159,23987,23861,12540,13355
26627,27936,13179,12790,6974,6813,7855,9406,15790,12863,33575,34839,12542,12253,6471,7109,24946,24675,21508,21023,9108,10241,14962,14770,20868,19625,19868,18043,24439,25867,13318,13070
30443,30318,18311,16478,7572,7100,10159,12098,17724,16217,37871,40062,12597,13129,6737,7943,29039,31646,23698,23203,11235,12327,16776,17411,22899,22044,27404,24024,28484,30238,16133,16112
23155,22379,13236,12146,5718,5752,5788,7243,13186,12758,29234,30048,9871,8988,5901,6796,22964,22629,18839,19536,8710,9572,14100,13498,16895,17046,19404,17642,22167,23668,11814,12040
36547,37729,14952,13528,6825,6377,10344,11550,18562,14241,37281,36808,11792,11196,5736,8350,25798,25729,22415,22397,10800,11352,16712,16735,21149,20468,24805,22881,28310,29166,15547,13769
24384,24307,13841,13545,6969,7282,7940,10300,15348,13569,36785,36591,12129,12298,4785,5347,25909,24860,18820,19187,9344,10205,13855,14142,17929,18771,22028,20824,25992,26988,15621,14410
18986,17899,10451,10055,5375,5000,7064,8670,12819,9405,25617,23880,10289,8331,4125,4443,18109,18662,14538,14410,7121,8146,10634,10313,14494,13666,16065,13449,18837,19035,10556,11655
23361,24908,14253,13427,6448,6137,9072,11607,15753,13154,32931,31795,11216,10976,5525,5797,23120,23335,16301,17132,8405,9272,13842,13456,17475,17786,18496,17681,24407,23906,16754,13789
26045,26013,12781,13505,6951,6262,7697,9837,15013,13190,32570,31131,12055,11256,5949,6725,23375,21697,21604,21372,9512,10435,14384,14050,16876,18198,21923,19460,23169,23957,13220,14495
26138,30954,15406,13790,7803,7478,10783,13574,15882,14952,35363,35577,12176,10783,5382,5925,29490,28801,20993,23361,10931,11317,16441,15281,25819,24564,23670,21834,24748,28181,13874,16321
19736,23577,10870,10105,5323,5398,8401,9949,13012,11064,27919,29379,9894,8888,4800,5358,19557,18727,15558,17478,7006,7482,12386,11512,15449,16131,16368,14847,18706,20672,12940,12692
22180,25327,13176,11624,6130,6110,7559,8936,12871,11359,29213,29357,10470,10408,5006,5664,21949,22559,19049,19108,8588,10487,13675,14237,19123,17786,20665,18166,23884,25855,14457,14196
21695,22552,10445,9292,5368,5309,8115,9678,11135,9618,28043,26500,10871,9258,3959,4571,21320,20191,15966,16853,7702,7672,12353,12991,14638,15481,15288,15362,18473,17497,12483,9843
26362,28642,13145,12055,6563,6197,6991,8722,13466,13523,31722,32186,11561,10694,5243,6307,21803,23328,17765,17922,8917,9156,13286,13878,19323,19175,17620,17093,23264,25937,14557,13706
23863,23886,13257,12246,6158,6147,6983,9355,13071,12889,29769,30996,10380,9885,5310,6075,21120,22929,18940,17987,8392,9838,13585,13251,16796,18444,18184,17533,22521,25973,12539,12881
28486,30425,15586,15560,7252,7152,9373,10876,15556,13514,39478,36580,13191,13388,7650,7103,28100,26502,22409,22864,10912,11785,16315,15008,18283,20737,24770,20420,25331,28356,16255,15219
19649,21213,11162,11167,5964,5524,8186,9116,13840,11297,29199,28402,10097,8959,4677,4690,20655,19898,17379,16166,8014,9248,11639,11686,18180,17096,17513,15000,20315,23596,14293,12259
27801,26813,14050,12419,6443,6421,8903,11194,13623,13300,29757,31409,11410,10362,4919,6292,21609,22619,18464,18254,9237,9667,12735,12721,18784,20583,22306,19139,23421,24087,13720,13551
23080,28187,12020,11036,7147,7139,8111,9539,15105,12367,32470,34901,11821,10134,4953,5184,22691,20852,17680,18389,8675,10693,14605,14591,17409,17342,20192,16875,23107,26993,17026,15379
25116,27000,13488,11766,6542,6165,7811,9600,13870,11721,30618,30086,11233,9855,5620,6078,23745,23990,19617,19504,8768,8945,13234,12768,19093,20414,20747,16678,21885,23410,14317,13174
22146,20796,12165,11947,5746,5371,5510,7496,14422,12829,29281,30697,10321,9949,4321,5414,22648,22465,17903,18111,9338,10729,12786,12938,17904,18094,18344,17111,23568,25109,11963,12342
