ID,SEX,AGE
OAS1_0001,2,74
OAS1_0003,2,73
OAS1_0004,1,28
OAS1_0005,1,18
OAS1_0006,2,24
OAS1_0007,1,21
OAS1_0009,2,20
OAS1_0010,1,74
OAS1_0011,2,52
OAS1_0012,1,30
OAS1_0013,2,81
OAS1_0014,2,19
OAS1_0015,1,76
OAS1_0016,1,82
OAS1_0017,1,21
OAS1_0018,1,39
OAS1_0019,2,89
OAS1_0020,2,48
OAS1_0021,2,80
OAS1_0022,2,69
OAS1_0023,1,82
OAS1_0025,2,24
OAS1_0026,2,58
OAS1_0027,2,43
OAS1_0028,2,86
OAS1_0029,1,21
OAS1_0030,2,65
OAS1_0031,1,88
OAS1_0032,1,89
OAS1_0033,2,80
OAS1_0034,1,51
OAS1_0037,1,27
OAS1_0038,2,23
OAS1_0039,1,70
OAS1_0040,2,38
OAS1_0041,2,62
OAS1_0042,1,80
OAS1_0043,1,21
OAS1_0044,2,47
OAS1_0045,1,29
OAS1_0046,1,64
OAS1_0047,2,57
OAS1_0049,2,20
OAS1_0050,2,48
OAS1_0051,2,24
OAS1_0052,2,78
OAS1_0053,2,83
OAS1_0054,2,21
OAS1_0056,2,72
OAS1_0057,2,21
OAS1_0058,2,46
OAS1_0059,2,20
OAS1_0060,1,79
OAS1_0061,2,20
OAS1_0062,2,73
OAS1_0063,1,48
OAS1_0064,2,77
OAS1_0065,1,90
OAS1_0066,2,66
OAS1_0067,2,71
OAS1_0068,2,67
OAS1_0069,1,33
OAS1_0070,2,63
OAS1_0071,2,49
OAS1_0072,2,60
OAS1_0073,2,69
OAS1_0074,1,43
OAS1_0075,2,83
OAS1_0076,2,18
OAS1_0077,2,20
OAS1_0078,2,64
OAS1_0079,2,25
OAS1_0080,2,25
OAS1_0081,2,18
OAS1_0082,2,75
OAS1_0083,2,90
OAS1_0084,2,81
OAS1_0085,2,70
OAS1_0086,2,47
OAS1_0087,2,21
OAS1_0088,2,40
OAS1_0090,1,20
OAS1_0091,2,18
OAS1_0092,1,22
OAS1_0094,2,66
OAS1_0095,1,28
OAS1_0096,2,47
OAS1_0097,1,23
OAS1_0098,2,67
OAS1_0099,2,19
OAS1_0101,1,29
OAS1_0102,1,18
OAS1_0103,2,19
OAS1_0104,2,24
OAS1_0105,1,20
OAS1_0106,2,81
OAS1_0107,1,20
OAS1_0108,1,25
OAS1_0109,2,61
OAS1_0110,1,84
OAS1_0111,1,23
OAS1_0112,2,69
OAS1_0113,2,83
OAS1_0114,1,62
OAS1_0115,1,72
OAS1_0116,2,52
OAS1_0117,1,25
OAS1_0119,1,19
OAS1_0120,1,70
OAS1_0121,1,26
OAS1_0122,2,83
OAS1_0123,2,83
OAS1_0124,1,73
OAS1_0125,2,22
OAS1_0126,1,21
OAS1_0127,1,30
OAS1_0130,1,68
OAS1_0131,1,24
OAS1_0132,1,22
OAS1_0133,2,65
OAS1_0134,1,80
OAS1_0135,1,64
OAS1_0136,2,24
OAS1_0137,2,87
OAS1_0138,1,80
OAS1_0139,2,72
OAS1_0140,2,23
OAS1_0141,1,24
OAS1_0142,1,70
OAS1_0143,1,66
OAS1_0144,1,22
OAS1_0145,1,34
OAS1_0146,2,82
OAS1_0147,2,25
OAS1_0148,1,23
OAS1_0150,2,20
OAS1_0151,2,25
OAS1_0152,2,23
OAS1_0153,1,23
OAS1_0155,1,71
OAS1_0156,2,20
OAS1_0157,2,86
OAS1_0158,1,81
OAS1_0159,2,40
OAS1_0160,1,57
OAS1_0161,2,84
OAS1_0162,2,20
OAS1_0163,2,18
OAS1_0164,2,81
OAS1_0165,2,74
OAS1_0166,2,80
OAS1_0167,2,41
OAS1_0168,2,50
