LABEL_1,LABEL_2,LABEL_3,LABEL_4,LABEL_5,LABEL_6,LABEL_7,LABEL_8,LABEL_9,LABEL_10,LABEL_11,LABEL_12,LABEL_13,LABEL_14,LABEL_15,LABEL_16,LABEL_17,LABEL_18,LABEL_19,LABEL_20,LABEL_21,LABEL_22,LABEL_23,LABEL_24,LABEL_25,LABEL_26,LABEL_27,LABEL_28,LABEL_29,LABEL_30,LABEL_31,LABEL_32
2.65103,2.55672,3.09817,2.87615,4.44746,4.56176,4.09431,3.69194,2.27028,2.20454,4.1694,3.65101,3.30571,3.46636,3.71566,3.56419,3.12975,3.39261,2.97577,3.14446,2.22003,2.5549,2.87182,2.98039,2.06421,1.91972,2.50828,2.36044,2.67155,2.60029,2.02817,2.20655
2.1901,1.97204,2.90421,2.55264,3.36733,3.37977,3.05969,3.42156,2.19392,2.17835,3.13381,2.81952,2.60129,2.63843,2.8018,3.20292,3.06046,3.33103,2.57637,2.70689,2.22705,2.34664,3.0335,2.84116,2.30039,2.13019,2.16541,2.17083,2.64885,2.2369,2.00961,1.92587
2.50564,2.35583,2.48654,2.21697,2.90934,2.87634,3.33078,3.56889,2.06923,2.18386,3.41254,2.92168,2.99881,2.97655,2.80531,2.84432,2.51005,2.57329,2.34304,2.30506,2.5452,2.45616,2.6066,2.48809,1.85805,1.80899,2.08388,1.86647,2.48129,2.16141,1.77496,1.77417
1.67887,1.60579,2.07614,2.02494,2.95956,3.15057,2.69245,2.69576,2.36166,1.63169,2.41019,1.95968,2.24062,1.98903,2.11521,1.81988,2.34184,2.21908,2.30026,1.9083,2.03272,1.91187,1.86309,1.80908,1.80523,1.78741,1.71151,1.55786,1.94486,2.01977,1.57744,1.54108
3.20563,2.92906,4.15346,3.92654,4.73093,5.34523,4.83113,4.59306,2.97209,2.61073,4.16877,3.34919,3.1285,2.94133,3.68168,3.0436,3.68707,3.91639,3.01546,3.28249,2.85367,3.19586,2.66797,3.21428,2.58259,2.73512,2.76796,2.8884,3.43111,3.60421,2.4009,2.31049
2.53225,2.15784,2.78841,2.89607,3.09215,2.96879,3.47358,2.61993,2.0747,1.8551,2.77787,2.00691,2.52418,2.36753,2.56354,2.1536,2.67696,2.72832,2.8042,2.47058,2.48488,2.0295,2.399,2.44054,2.09047,2.0629,2.14972,2.26768,2.58228,2.38082,1.79016,1.47179
2.3697,2.24087,3.47826,3.18157,3.23351,3.51881,3.31891,3.57417,2.42533,2.13776,3.397,3.07639,3.04746,2.71659,2.89694,3.15896,3.3075,3.10718,2.59973,2.413,2.17729,2.57028,3.33641,3.49359,2.18625,2.27633,2.06977,2.27496,2.50025,2.47433,1.9081,1.88718
2.1358,2.24314,2.81345,2.60994,3.46471,3.64583,2.48758,3.25768,1.99466,1.97087,3.767,3.45321,2.49504,2.46356,3.08308,2.8971,2.58297,2.53771,2.33499,2.28931,2.41983,2.18814,3.33704,3.15667,1.76038,1.75931,2.00897,1.88869,2.2942,2.38745,1.5619,1.64269
2.58884,2.93277,3.03166,2.86798,3.69547,4.07679,3.69797,3.58264,2.68922,2.45519,3.59164,2.97931,3.0654,3.03078,2.49933,2.71744,3.01493,2.96717,2.90614,2.76714,2.42788,2.29511,2.76818,2.94646,2.32863,2.10602,2.1171,2.0382,2.46499,2.51777,2.01694,1.73428
2.60375,2.59621,2.31383,2.46052,2.93081,2.984,3.08001,3.24767,2.1175,2.04419,3.43857,2.92902,2.68003,2.62888,2.79243,2.75776,2.40319,2.33285,2.20221,2.02444,1.8877,2.30385,2.44372,2.31759,1.76135,1.7286,2.1076,1.74782,2.67133,2.50601,1.72951,1.50832
2.36864,2.49382,3.19788,2.64154,3.55949,3.5495,3.20145,3.60737,2.26418,2.25791,3.58676,3.58534,2.61841,2.72166,3.32181,3.58899,2.85747,2.70293,2.93027,2.66397,2.39114,2.43305,3.22047,2.45535,1.75084,1.81575,2.66683,2.22588,2.54181,2.44959,1.84442,1.88873
2.87982,2.79738,2.96951,2.43984,3.004,3.57171,2.67821,2.95768,2.20674,2.03071,2.91796,2.66034,3.20174,3.2106,2.63046,2.45944,2.76216,2.62905,2.62183,2.57493,2.49248,2.67546,2.64701,2.80063,2.04972,2.17174,2.16307,2.24712,2.5526,2.37008,1.91692,2.0236
2.33988,2.61424,2.27281,2.59495,3.82398,3.96063,3.09831,3.42103,2.10099,2.20315,3.21658,3.53086,2.25068,1.98758,2.86861,3.04067,2.55661,2.46535,2.18187,2.48576,2.07772,2.11196,2.88444,2.91407,1.6743,1.69079,2.12568,1.85766,2.45198,2.14795,1.58724,1.72576
1.94734,2.35228,2.5069,2.1479,3.40235,3.6741,2.88574,2.64331,1.76449,1.63128,3.14364,2.43117,2.48372,2.52627,2.165,2.2406,2.95454,2.68711,2.17784,1.89337,1.9519,1.69221,2.12457,2.18141,2.01605,1.89945,2.4294,2.67996,1.79786,1.67154,2.10304,1.99009
1.67402,1.71762,2.17571,1.84535,2.70031,3.04046,3.30169,2.78644,1.82883,1.73935,2.26086,1.87288,2.51822,2.44659,2.18754,2.40655,2.14254,2.06521,2.18922,1.91379,2.06859,2.12837,2.26636,2.40431,1.66861,1.73226,1.50471,1.56475,1.85124,1.68772,1.27254,1.25174
2.36392,2.38486,2.24372,2.06559,3.40764,3.43874,3.18813,2.79797,2.25503,1.91977,3.20133,2.4675,2.75794,2.56051,2.29686,2.06018,2.38683,2.21542,2.43452,1.98917,1.98058,1.90381,2.17647,2.15697,2.00139,1.85918,1.75903,1.96017,2.14455,1.95856,1.58407,1.47702
2.46037,2.23768,2.93001,2.7639,4.03615,3.81349,3.14492,4.23694,2.05467,2.11998,3.80923,3.57584,2.77062,2.88052,3.15534,3.27832,2.83064,2.86243,2.96455,2.59404,2.41203,2.33271,2.55699,2.20045,1.93665,2.05394,2.30604,2.26343,2.24947,2.28244,1.62878,1.69064
2.51107,2.61424,3.2848,3.24585,3.4813,3.78771,4.23374,4.07266,2.36218,2.28724,3.70921,3.73107,3.414,3.31457,3.59223,3.9859,3.28735,3.4765,3.12677,3.36649,2.60248,2.44039,3.30816,3.26439,2.31717,2.24145,2.29673,2.6388,2.78369,2.68776,2.27938,1.98673
2.70446,3.15698,2.86705,2.87346,3.52035,3.76721,3.57955,3.54144,2.47784,2.32316,4.25543,4.46048,2.66714,2.92261,3.78025,3.85586,2.60009,2.85567,2.6349,2.91132,2.25821,2.44132,3.27811,2.75742,1.69929,1.94914,2.26429,2.70325,2.58794,2.52151,2.02896,2.35086
2.85192,2.56843,2.75088,2.68232,3.22643,3.52916,3.89967,3.75554,2.35211,2.49406,3.37441,3.43431,3.22975,2.95827,3.07813,3.01198,2.93701,3.10398,2.76556,2.66548,2.50663,2.32847,2.84382,2.83575,2.17195,2.27639,2.22177,2.28209,2.6613,2.57312,2.00717,2.11452
2.3502,2.5188,3.19781,2.91832,3.53717,3.79626,3.76522,3.91518,2.62484,2.30155,3.72096,3.48232,2.56165,2.73763,4.00335,3.76165,3.1437,3.18586,3.36777,3.24933,2.35057,2.96989,3.68989,3.30504,2.10243,2.24135,2.32563,2.18117,2.75994,2.62266,1.93585,1.81165
3.25814,3.23127,3.48567,2.9189,4.39215,4.22144,4.72759,3.99055,3.18358,2.58667,4.51882,3.73538,3.75099,3.50308,3.09458,2.80026,3.67172,3.21222,3.80713,3.32961,3.15012,3.20686,3.52091,3.8579,2.65489,2.66083,3.21183,3.06648,3.58224,3.41833,2.71359,2.33108
2.5951,2.43946,3.08374,2.79451,4.08334,4.51663,4.73205,3.89893,2.97016,2.47252,4.59742,3.43042,3.90786,2.8969,3.83386,3.73619,3.59807,3.5887,3.72595,3.07796,2.55771,2.85059,3.3339,3.31241,2.03194,2.06105,2.24535,2.23167,3.11561,2.56851,2.04232,1.89817
3.21312,3.22604,3.1653,2.84076,3.63545,4.52866,3.0668,3.37405,2.93132,2.88334,3.56285,3.02226,2.89353,2.74264,2.4294,2.90335,3.32348,3.0531,3.54211,3.79163,2.75506,2.64177,3.26793,3.14438,2.28611,2.25754,2.46168,2.18352,2.5307,3.10668,2.07597,2.13288
2.71353,2.52641,3.40545,3.23235,3.89221,4.30865,4.05108,5.0537,1.97296,2.10795,3.79089,3.87708,2.98233,3.11278,3.77903,3.64669,2.4361,2.59478,2.4025,2.48953,2.02359,2.11641,3.00123,2.72755,1.47368,1.387,1.56388,1.62624,1.98213,2.36991,1.47545,1.43094
2.06309,1.97453,2.38585,2.0879,2.68621,3.31005,2.84101,2.7081,1.90015,1.778,2.32164,1.96478,2.5036,2.37141,2.39774,2.08234,2.39799,2.31505,1.94901,2.2222,1.80063,1.93398,2.29937,2.28741,1.88246,1.86867,1.82915,1.71992,1.93292,1.9689,1.64978,1.63509
1.69779,1.6673,2.2255,2.11736,3.15258,3.53254,3.17802,3.6491,1.74569,1.76679,2.90578,2.73547,2.64954,2.14911,2.12728,2.25424,1.80931,1.87283,1.93343,2.24567,1.77768,2.04936,1.93363,1.65383,1.17281,1.14689,1.5675,1.40607,1.67878,1.70666,1.20835,1.21692
1.59695,2.40503,1.98732,2.06558,2.78057,3.25577,0.990779,1.20327,1.14677,1.14463,1.97474,1.9385,1.6692,1.86215,1.41784,1.32132,1.23536,1.6675,1.53374,1.26269,1.20625,1.2412,1.45402,1.13333,1.41557,1.24887,1.42422,1.39941,1.41036,1.3051,1.26973,1.26625
1.77094,1.97934,2.75409,2.51759,3.59413,3.60089,2.73771,4.85007,1.96179,2.22268,2.83656,2.9354,2.54972,2.8942,2.65887,2.69538,2.57305,2.54683,2.27252,2.54674,2.17025,2.21044,2.9142,2.43127,1.80568,1.7033,1.93863,1.94998,2.16351,2.3056,1.80681,1.85513
2.41009,2.34701,3.11471,3.08164,4.25993,4.30417,3.50521,3.87393,2.46399,2.37323,3.98466,3.37433,2.74349,3.04746,3.12865,3.04827,2.53986,2.61276,2.30867,2.20763,1.92191,2.01553,2.59214,2.56076,1.57619,1.52377,2.04108,1.95812,2.53116,2.14941,1.61107,1.62074
2.54203,2.78041,3.07615,2.36547,3.06473,3.21292,4.558,4.57986,2.60102,2.35451,3.89311,3.4347,3.65704,3.48636,2.38311,2.6443,2.69141,2.73655,2.60495,2.55446,2.30124,2.29668,2.56903,2.54366,2.01133,2.11037,2.23043,2.09433,2.3524,2.56777,1.9133,1.70096
2.02121,2.10359,2.69373,2.68994,3.23864,3.59272,3.47025,3.23802,2.24703,2.0889,2.96548,2.50437,2.97327,2.94398,1.97507,2.0442,2.38771,2.20727,1.97058,1.89028,2.23498,2.19244,2.41399,2.83488,2.07415,1.98697,1.83119,1.75279,2.22235,2.09654,1.55424,1.49918
1.93812,2.00184,2.51807,2.40065,3.21942,2.96311,3.52801,3.20172,2.23254,2.04143,2.48845,2.24043,2.60111,2.76222,2.34578,2.11975,2.80455,2.6739,2.67567,2.37686,2.2473,2.38845,2.32043,2.45898,2.01282,2.10207,1.95209,1.93768,2.03043,2.16476,1.92877,1.8858
3.43948,3.42099,3.04011,2.77148,3.2548,3.46588,4.13402,4.90187,2.53713,2.44677,4.82406,4.37279,2.60632,3.09178,3.49456,3.94441,3.06154,3.05832,3.05591,3.21941,2.30116,2.50855,3.19526,3.28612,2.0387,2.10088,3.00742,3.28972,3.10249,3.19475,1.88627,1.94743
